filename,duration,mean_pitch,std_pitch,voiced_ratio,mean_intensity,std_intensity,mean_f1,std_f1,mean_f2,std_f2,mean_f3,std_f3,mean_tilt,std_tilt,filepath,type
CA_Baby 1810_112.28785226540757,4.7263125,5.045035192600231,0.4352171955489339,0.509594882729211,47.11086608987046,4.29511967703761,595.0900447023946,190.23409999740713,1716.1286892179949,269.16358008998344,2949.7083615247993,386.76037439870316,159.3316191141245,75.44800777480064,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 1810_112.28785226540757.wav,ADS
"CA_sieve, Baby 4547 at 627.465",4.1816875,5.13032451989322,0.3726680421631373,0.40481927710843374,57.48100959647325,8.014767303881449,585.7858150914902,129.60137303277713,1752.9513362542798,313.1000830422553,2651.0838760184106,304.96476513490904,148.87362985535773,75.08439740805034,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_sieve, Baby 4547 at 627.465.wav",ADS
CA_Baby 2077_392.63977244181063,4.1679375,5.049575800263676,0.534521042512764,0.23728813559322035,57.32848792483167,5.7064952181480875,586.8750718862296,155.1301990262858,1838.6685838687972,339.3079552386681,2477.300206291607,411.5187215024033,171.40710675974142,74.49878131833836,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 2077_392.63977244181063.wav,ADS
"CA_globe, Baby 2077_166.68622689664895",4.4540625,4.865396128552586,0.3502148729520081,0.16515837104072398,54.797685654159395,5.8186525978795975,613.6665984973284,115.83461420153058,1468.5109285263763,398.80754011171246,2728.6176324775756,316.22852278743443,174.68507715450676,62.59343376070785,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_globe, Baby 2077_166.68622689664895.wav",ADS
US_Baby 4_119.15118217078498,6.6456875,5.076727025432656,0.3459278580821131,0.5869894099848714,68.55997499637834,6.692871199628365,607.6187006669314,155.17222959673822,1661.666952899848,294.0354722778773,2546.6344501462254,316.65310854476917,210.25678304796398,77.07065421183874,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/US_Baby 4_119.15118217078498.wav,ADS
"US_shoe, Baby 4_134.149755832785",4.9513125,5.096816995527327,0.31094246041489476,0.5528455284552846,70.56522117309814,7.011982545517555,570.3372686611139,115.09399786896566,1598.701121603467,364.36040313361275,2581.335573210365,283.33423919272445,199.96725150859427,92.16834455033951,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/US_shoe, Baby 4_134.149755832785.wav",ADS
CA_Baby 2874_552.9438134996509,6.0210625,5.480607355507799,0.20480682769977576,0.5943238731218697,55.7669105104817,6.819468941890533,529.1281795144187,136.3641854730411,1681.0921525454046,398.26303122864965,2589.66240566314,353.7612618406217,193.78419235396237,80.64773094855153,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 2874_552.9438134996509.wav,ADS
CA_Baby 3314 at 248.176,7.95675,4.986556747265891,0.2755289028585036,0.31691919191919193,50.629070804812706,6.109757866615059,527.2961550433218,146.41395531058816,1784.8107082709855,397.9527849794457,2772.6230568776314,324.63064110873626,140.43485116511422,69.89305856056124,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 3314 at 248.176.wav,ADS
CA_Baby 2077_113.02363282815345,3.5005,4.935673145468651,0.41065004317431686,0.1642651296829971,49.06200940171693,5.628883417434416,586.9820288287449,95.32834594129359,1744.660824564344,351.6282661558665,2553.463088930183,441.81379583312304,177.10716575930462,55.49738710148316,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 2077_113.02363282815345.wav,ADS
"CA_cup, Baby 1266_1103.6708312684427",8.3681875,5.306205246351959,0.18541029638266515,0.3385354141656663,55.810780050941645,6.285906137990211,566.6369687591634,127.43886323325461,1538.3328203464928,428.96708256560294,2857.1637011941075,215.80207711165897,154.36688451335147,61.11200554105601,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_cup, Baby 1266_1103.6708312684427.wav",ADS
CA_Baby 1810_298.1001772894327,12.345875,4.928140576952184,0.4108160008472617,0.529650690495532,52.1954698300774,3.999078471501569,624.2457505466957,159.9981245383795,1835.6699981073275,374.3494323783086,2867.8507592279934,349.4036125311615,185.9333469068284,64.98538733731482,../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_Baby 1810_298.1001772894327.wav,ADS
"CA_train, Baby 4510_381.13749408600387",5.10525,5.192258957283474,0.3437478390213007,0.504930966469428,56.03990492368648,5.80648333541478,601.7262509688356,147.98878450516264,1601.3516012226642,426.4474767652827,2626.393398670029,314.2872357000614,153.90770222462248,97.5364627465315,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_train, Baby 4510_381.13749408600387.wav",ADS
"CA_whisk, Baby 3214_514.1518210676982",4.1063125,5.202437687511235,0.510752161465243,0.1941031941031941,56.0362715178882,5.7954868559656765,646.1555911542763,133.51958719986757,1818.390085692838,347.7328111013545,2578.242794844336,278.04449444238185,165.07838455813993,87.33636555571269,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_whisk, Baby 3214_514.1518210676982.wav",ADS
"CA_block, Baby 2874_705.0469023686146",3.5115625,5.438535462228222,0.2589076476645247,0.5718390804597702,55.68023959459577,5.85766237568764,607.6016897984337,129.31973281893943,1481.131667070682,427.12031794656554,2589.5861280797535,324.02767789081076,200.76579029299234,65.29315872194952,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_block, Baby 2874_705.0469023686146.wav",ADS
"CA_sieve, Baby 2077_309.2595749953863",7.1239375,4.880840757431924,0.6248453528191774,0.38928067700987307,54.57914152949947,4.779261857157389,604.1836962236539,86.21759387807877,1785.0909037511253,320.5053699811732,2432.7500085400484,465.665098748678,179.65812631907667,75.0947862921153,"../../../../../../../../Evaluation_Protocol/Code/IDS_Stimuli/wav_16kHz/ADS/CA_sieve, Baby 2077_309.2595749953863.wav",ADS
