filename,duration,mean_pitch,std_pitch,voiced_ratio,mean_intensity,std_intensity,mean_f1,std_f1,mean_f2,std_f2,mean_f3,std_f3,mean_tilt,std_tilt,type,quality,quality_snr
e20120918_153528_008343_1_21947987_21950902,2.915,5.778868641732433,0.208324511642797,0.6979166666666666,73.94898214524683,5.387297010946583,676.6117967221834,171.28026251429347,1871.4605520250616,424.10432198287367,3026.002604134388,328.22440255958577,94.46959568409842,55.43178427491234,IDS,5,0
e20130311_153356_008109_2_12063147_12063899,0.752,4.681267281108229,0.3834369554543078,0.5555555555555556,57.07654176381121,5.565588585676708,565.8252247842245,110.72161105882292,1927.6602517718093,311.4773135130429,3036.294405331703,328.8422813847719,103.50543416467718,59.85562680756973,IDS,0,1
e20120918_153528_008343_1_21953067_21955539,2.472,5.620077657165544,0.15231242959893,0.6598360655737705,69.10211590052138,5.699018662045994,559.2474984127308,186.7654409614438,1629.2008755403565,509.3564313096238,2811.134943279509,429.5553939373278,126.61983770172118,72.81312969303144,IDS,5,1
e20130314_125307_008344_1_19512080_19513552,1.472,5.56222902717767,0.5227055596902634,0.8958333333333334,62.46450224079916,6.466250229102033,613.3475483873157,86.04738957613704,1833.894737229563,162.281996372284,2885.2468350788654,292.554956994016,153.30793262163198,38.00564866678847,IDS,0,1
e20130311_153356_008109_2_12095417_12096329,0.912,4.663894779447247,0.2662308251099763,0.5454545454545454,53.49250507263138,3.574220302956113,697.9082607204323,448.4060048808509,2101.2543154001564,388.6147744508512,3141.84830919995,335.25643500984296,99.91522056681752,51.08079950589205,IDS,0,1
e20120918_153122_008066_1_18671544_18672216,0.672,5.70885294944108,0.3848595828246798,0.3125,67.17576047530368,6.3716956249565335,895.1926824170258,90.33759030018535,1826.6291934606131,209.2570358865011,3025.152721051023,466.3007874996895,95.56663791789894,32.615395161692064,IDS,0,1
e20130314_125532_008066_1_10361144_10362776,1.632,5.902581992522881,0.1857564768185807,0.73125,63.68815010170716,5.511927589776853,574.6491387149454,165.83352908941538,2038.5436473918755,189.2306835411705,3115.772979682544,241.20500156889415,68.74741617476285,50.27459233489074,IDS,5,0
e20130311_153356_008109_2_12100125_12103133,3.008,5.170674850261128,0.3926714369221386,0.3602693602693603,57.15359577263622,6.018060426301535,435.9712576207517,213.6380824746761,2120.7493721546084,336.6067141467564,3042.8972740495096,280.5859871187569,57.49712680967871,69.39875427836323,IDS,0,1
e20120918_153528_008343_1_22138946_22142801,3.855,5.900373134769122,0.1956950715091235,0.4869109947643979,68.52064660590416,8.951714462401574,564.9773420227572,159.4413915993245,1848.2138228982667,263.23465259389525,2922.932751236105,249.0528264270293,85.83199486262129,48.86141154546655,IDS,0,1
e20130322_154609_008015_1_20728939_20730955,2.016,5.498041331389789,0.1643477450873033,0.898989898989899,58.74220646980364,3.946532467445687,563.7509541595801,141.55573113259942,1654.6039631246376,439.2490513641264,2867.868490668498,351.19496129006234,167.98673808152412,45.88160428460051,IDS,0,1
e20130311_153356_008109_2_12168977_12171483,2.506,5.129412619570718,0.5112705274680022,0.3603238866396761,63.61353749897012,6.8392967172364045,559.0466597296506,200.71088935337357,2040.4834375693729,364.3970053468064,2946.293435557746,302.315564720057,75.60652876292703,72.05342811225525,IDS,0,1
