filename,score,model,lang,type,quality,quality_snr,corpus
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2137681096792221,400,English,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.1751207560300827,50,English,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2355072349309921,800,English,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2125603705644607,50,French,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2270531207323074,100,French,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.1908212453126907,200,French,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2173912972211837,400,French,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2270531207323074,800,French,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2632850110530853,1600,French,IDS,0,1,English
30256b41f9a8711757bfcfb83f23eaf66ac1bf5e8e7ca3c0c054aecf4e58a705,0.2922705113887787,3200,French,IDS,0,1,English
b88ec4cf872eafc99fc0f45aac16798451710006a8c303ef7afdf4d4a66101b9,0.1458333283662796,100,English,IDS,0,1,English
b88ec4cf872eafc99fc0f45aac16798451710006a8c303ef7afdf4d4a66101b9,0.2124999761581421,1600,English,IDS,0,1,English
b88ec4cf872eafc99fc0f45aac16798451710006a8c303ef7afdf4d4a66101b9,0.170833334326744,200,English,IDS,0,1,English
b88ec4cf872eafc99fc0f45aac16798451710006a8c303ef7afdf4d4a66101b9,0.1958333253860473,3200,English,IDS,0,1,English
b88ec4cf872eafc99fc0f45aac16798451710006a8c303ef7afdf4d4a66101b9,0.1624999940395355,400,English,IDS,0,1,English
b88ec4cf872eafc99fc0f45aac16798451710006a8c303ef7afdf4d4a66101b9,0.1208333298563957,50,English,IDS,0,1,English
